28,"wi,si,xi,wk,sk,xk",Skadi,https://dota2.fandom.com/wiki/Skadi,https://www.google.com/search?q=dota Skadi,
29,"wo,so,xo,wl,sl,xl",SLARDAR,,https://www.google.com/search?q=dota SLARDAR,
30,"ep,dp,cp",DEATH PROPHET,,https://www.google.com/search?q=dota DEATH PROPHET,
31,"eq,dq,cq,ea,da,ca,ez,dz,cz",DAZZLE,,https://www.google.com/search?q=dota DAZZLE,
32,"ew,dw,cw,es,ds,cs,ex,dx,cx",DARK SEER,,https://www.google.com/search?q=dota DARK SEER,
33,"ee,de,ce,ed,dd,cd,ec,dc,cc",Crimson Cut-throat,https://dota2.fandom.com/wiki/The_Crimson_Cut-throat_Set,https://www.google.com/search?q=dota Crimson Cut-throat,
34,"er,dr,cr,ef,df,cf,ev,dv,cv",DROW RANGER,,https://www.google.com/search?q=dota DROW RANGER,
35,"et,dt,ct,eg,dg,cg,eb,db,cb",ELDER TITAN,,https://www.google.com/search?q=dota ELDER TITAN,
36,"ey,dy,cy,eh,dh,ch,en,dn,cn",ENCHANTRESS,,https://www.google.com/search?q=dota ENCHANTRESS,
37,"eu,du,cu,ej,dj,cj,em,dm,cm",CRYSTAL MAIDEN,,https://www.google.com/search?q=dota CRYSTAL MAIDEN,
38,"ei,di,ci,ek,dk,ck",DRAGON KNIGHT,,https://www.google.com/search?q=dota DRAGON KNIGHT,
39,"eo,do,co,el,dl,cl",DOOM,,https://www.google.com/search?q=dota DOOM,
40,"rp,fp,vp :",,done,https://www.google.com/search?q=dota ,
41,"rq,fq,vq,ra,fa,va,rz,fz,vz",RAZOR,,https://www.google.com/search?q=dota RAZOR,
42,"rw,fw,vw,rs,fs,vs,rx,fx,vx",VENGEFUL SPIRIT,,https://www.google.com/search?q=dota VENGEFUL SPIRIT,
43,"re,fe,ve,rd,fd,vd,rc,fc,vc",VENOMANCER,,https://www.google.com/search?q=dota VENOMANCER,
44,"rr,fr,vr,rf,ff,vf,rv,fv,vv",FACELESS VOID,,https://www.google.com/search?q=dota FACELESS VOID,
45,"rt,ft,vt,rg,fg,vg,rb,fb,vb",Virga Truebark,,https://www.google.com/search?q=dota Virga Truebark,
46,"ry,fy,vy,rh,fh,vh,rn,fn,vn",Fymryn,,https://www.google.com/search?q=dota Fymryn,
47,"ru,fu,vu,rj,fj,vj,rm,fm,vm",RUBICK,,https://www.google.com/search?q=dota RUBICK,
48,"ri,fi,vi,rk,fk,vk",RIKI,,https://www.google.com/search?q=dota RIKI,
49,"ro,fo,vo,rl,fl,vl",Roshan,,https://www.google.com/search?q=dota Roshan,
50,"tp,gp,bp",TREANT PROTECTOR,,https://www.google.com/search?q=dota TREANT PROTECTOR,
51,"tq,gq,bq,ta,ga,ba,tz,gz,bz",Gallaron,https://dota2.fandom.com/wiki/Balimar_Oakrot,https://www.google.com/search?q=dota Gallaron,
52,"tw,gw,bw,ts,gs,bs,tx,gx,bx",TROLL WARLORD,,https://www.google.com/search?q=dota TROLL WARLORD,
53,"te,ge,be,td,gd,bd,tc,gc,bc",GYRO COPTER,,https://www.google.com/search?q=dota GYRO COPTER,
54,"tr,gr,br,tf,gf,bf,tv,gv,bv",BAT RIDER,,https://www.google.com/search?q=dota BAT RIDER,
55,"tt,gt,bt,tg,gg,bg,tb,gb,bb",BRISTLE BACK,,https://www.google.com/search?q=dota BRISTLE BACK,
56,"ty,gy,by,th,gh,bh,tn,gn,bn",TIDE HUNTER,,https://www.google.com/search?q=dota TIDE HUNTER,
57,"tu,gu,bu,tj,gj,bj,tm,gm,bm",BREW MASTER,,https://www.google.com/search?q=dota BREW MASTER,
58,"ti,gi,bi,tk,gk,bk",TINKER,,https://www.google.com/search?q=dota TINKER,
59,"to,go,bo,tl,gl,bl",Goddess of Luck,,https://www.google.com/search?q=dota Goddess of Luck,
60,"yp,hp,np",NATURE PROPHET,,https://www.google.com/search?q=dota NATURE PROPHET,
61,"yq,hq,nq,ya,ha,na,yz,hz,nz",NYX ASSASSIN,,https://www.google.com/search?q=dota NYX ASSASSIN,
62,"yw,hw,nw,ys,hs,ns,yx,hx,nx",NAGA SIREN,,https://www.google.com/search?q=dota NAGA SIREN,
63,"ye,he,ne,yd,hd,nd,yc,hc,nc",NECROPHOS,,https://www.google.com/search?q=dota NECROPHOS,
64,"yr,hr,nr,yf,hf,nf,yv,hv,nv",Hroth,,https://www.google.com/search?q=dota Hroth,
65,"yt,ht,nt,yg,hg,ng,yb,hb,nb",Hill Troll,,https://www.google.com/search?q=dota Hill Troll,
66,"yy,hy,ny,yh,hh,nh,yn,hn,nn",Nico Hieronimo,,https://www.google.com/search?q=dota Nico Hieronimo,
67,"yu,hu,nu,yj,hj,nj,ym,hm,nm",HUSKAR,,https://www.google.com/search?q=dota HUSKAR,
68,"yi,hi,ni,yk,hk,nk",Nikdo,,https://www.google.com/search?q=dota Nikdo,
69,"yo,ho,no,yl,hl,nl",HOODWINK,,https://www.google.com/search?q=dota HOODWINK,
70,"up,jp,mp :",,,https://www.google.com/search?q=dota ,
71,"uq,jq,mq,ua,ja,ma,uz,jz,mz",JAKIRO,,https://www.google.com/search?q=dota JAKIRO,
72,"uw,jw,mw,us,js,ms,ux,jx,mx",The Unseen Seven,,https://www.google.com/search?q=dota The Unseen Seven,
73,"ue,je,me,ud,jd,md,uc,jc,mc",MEDUSA,,https://www.google.com/search?q=dota MEDUSA,
74,"ur,jr,mr,uf,jf,mf,uv,jv,mv",URSA,,https://www.google.com/search?q=dota URSA,
75,"ut,jt,mt,ug,jg,mg,ub,jb,mb",Mirana's Grandfather,,https://www.google.com/search?q=dota Mirana's Grandfather,
76,"uy,jy,my,uh,jh,mh,un,jn,mn",UNDYING,,https://www.google.com/search?q=dota UNDYING,
77,"uu,ju,mu,uj,jj,mj,um,jm,mm",JUGGERNAUT,,https://www.google.com/search?q=dota JUGGERNAUT,
78,"ui,ji,mi,uk,jk,mk",MONKEY KING,,https://www.google.com/search?q=dota MONKEY KING,
79,"uo,jo,mo,ul,jl,ml",MORPHLING,,https://www.google.com/search?q=dota MORPHLING,
80,"ip,kp :",,,https://www.google.com/search?q=dota ,
81,"iq,kq,ia,ka,iz,kz",Karroch,,https://www.google.com/search?q=dota Karroch,
82,"iw,kw,is,ks,ix,kx",Ice Wizard,https://dota2.fandom.com/wiki/Ice_Wizard,https://www.google.com/search?q=dota Ice Wizard,
83,"ie,ke,id,kd,ic,kc",Keeper,https://dota2.fandom.com/wiki/Keeper_of_the_Light,https://www.google.com/search?q=dota Keeper,
84,"ir,kr,if,kf,iv,kv :",,,https://www.google.com/search?q=dota ,
85,"it,kt,ig,kg,ib,kb :",,,https://www.google.com/search?q=dota ,
86,"iy,ky,ih,kh,in,kn",INVOKER,,https://www.google.com/search?q=dota INVOKER,
87,"iu,ku,ij,kj,im,km",KUNKKA,,https://www.google.com/search?q=dota KUNKKA,
88,"ii,ki,ik,kk :",,,https://www.google.com/search?q=dota ,
89,"io,ko,il,kl",IO,,https://www.google.com/search?q=dota IO,
90,"op,lp :",,,https://www.google.com/search?q=dota ,
91,"oq,lq,oa,la,oz,lz",Lanaya,,https://www.google.com/search?q=dota Lanaya,
92,"ow,lw,os,ls,ox,lx",LIFE STEALER,,https://www.google.com/search?q=dota LIFE STEALER,
93,"oe,le,od,ld,oc,lc",LEGION COMMANDER,,https://www.google.com/search?q=dota LEGION COMMANDER,
94,"or,lr,of,lf,ov,lv",ORACLE,,https://www.google.com/search?q=dota ORACLE,
95,"ot,lt,og,lg,ob,lb",Oblivion,,https://www.google.com/search?q=dota Oblivion,
96,"oy,ly,oh,lh,on,ln",Lyla,https://dota2.fandom.com/wiki/Lyla,https://www.google.com/search?q=dota Lyla,
97,"ou,lu,oj,lj,om,lm",LUNA,,https://www.google.com/search?q=dota LUNA,
98,"oi,li,ok,lk",LINA,,https://www.google.com/search?q=dota LINA,
99,"oo,lo,ol,ll",Lommett,https://dota2.fandom.com/wiki/Lommett,https://www.google.com/search?q=dota Lommett,
